,acter,title
1,Sam Worthington,Avatar
2,Zoe Saldana,Avatar
3,Sigourney Weaver,Avatar
4,Stephen Lang,Avatar
5,Michelle Rodriguez,Avatar
6,Giovanni Ribisi,Avatar
7,Joel David Moore,Avatar
8,CCH Pounder,Avatar
9,Wes Studi,Avatar
10,Laz Alonso,Avatar
11,Dileep Rao,Avatar
12,Matt Gerald,Avatar
13,Sean Anthony Moran,Avatar
14,Jason Whyte,Avatar
15,Scott Lawrence,Avatar
16,Kelly Kilgour,Avatar
17,James Patrick Pitt,Avatar
18,Sean Patrick Murphy,Avatar
19,Peter Dillon,Avatar
20,Kevin Dorman,Avatar
21,Kelson Henderson,Avatar
22,David Van Horn,Avatar
23,Jacob Tomuri,Avatar
24,Michael Blain-Rozgay,Avatar
25,Jon Curry,Avatar
26,Luke Hawker,Avatar
27,Woody Schultz,Avatar
28,Peter Mensah,Avatar
29,Sonia Yee,Avatar
30,Jahnel Curfman,Avatar
31,Ilram Choi,Avatar
32,Kyla Warren,Avatar
33,Lisa Roumain,Avatar
34,Debra Wilson,Avatar
35,Chris Mala,Avatar
36,Taylor Kibby,Avatar
37,Jodie Landau,Avatar
38,Julie Lamm,Avatar
39,Cullen B. Madden,Avatar
40,Joseph Brady Madden,Avatar
41,Frankie Torres,Avatar
42,Austin Wilson,Avatar
43,Sara Wilson,Avatar
44,Tamica Washington-Miller,Avatar
45,Lucy Briant,Avatar
46,Nathan Meister,Avatar
47,Gerry Blair,Avatar
48,Matthew Chamberlain,Avatar
49,Paul Yates,Avatar
50,Wray Wilson,Avatar
51,James Gaylyn,Avatar
52,Melvin Leno Clark III,Avatar
53,Carvon Futrell,Avatar
54,Brandon Jelkes,Avatar
55,Micah Moch,Avatar
56,Hanniyah Muhammad,Avatar
57,Christopher Nolen,Avatar
58,Christa Oliver,Avatar
59,April Marie Thomas,Avatar
60,Bravita A. Threatt,Avatar
61,Colin Bleasdale,Avatar
62,Mike Bodnar,Avatar
63,Matt Clayton,Avatar
64,Nicole Dionne,Avatar
65,Jamie Harrison,Avatar
66,Allan Henry,Avatar
67,Anthony Ingruber,Avatar
68,Ashley Jeffery,Avatar
69,Dean Knowsley,Avatar
70,Joseph Mika-Hunt,Avatar
71,Terry Notary,Avatar
72,Kai Pantano,Avatar
73,Logan Pithyou,Avatar
74,Stuart Pollock,Avatar
75,Raja,Avatar
76,Gareth Ruck,Avatar
77,Rhian Sheehan,Avatar
78,T. J. Storm,Avatar
79,Jodie Taylor,Avatar
80,Alicia Vela-Bailey,Avatar
81,Richard Whiteside,Avatar
82,Nikie Zambo,Avatar
83,Julene Renee,Avatar
84,Johnny Depp,Pirates of the Caribbean: At World's End
85,Orlando Bloom,Pirates of the Caribbean: At World's End
86,Keira Knightley,Pirates of the Caribbean: At World's End
87,Stellan Skarsgård,Pirates of the Caribbean: At World's End
88,Chow Yun-fat,Pirates of the Caribbean: At World's End
89,Bill Nighy,Pirates of the Caribbean: At World's End
90,Geoffrey Rush,Pirates of the Caribbean: At World's End
91,Jack Davenport,Pirates of the Caribbean: At World's End
92,Kevin McNally,Pirates of the Caribbean: At World's End
93,Tom Hollander,Pirates of the Caribbean: At World's End
94,Naomie Harris,Pirates of the Caribbean: At World's End
95,Jonathan Pryce,Pirates of the Caribbean: At World's End
96,Keith Richards,Pirates of the Caribbean: At World's End
97,Lee Arenberg,Pirates of the Caribbean: At World's End
98,Mackenzie Crook,Pirates of the Caribbean: At World's End
99,Greg Ellis,Pirates of the Caribbean: At World's End
100,David Bailie,Pirates of the Caribbean: At World's End
101,Martin Klebba,Pirates of the Caribbean: At World's End
102,David Schofield,Pirates of the Caribbean: At World's End
103,Lauren Maher,Pirates of the Caribbean: At World's End
104,Vanessa Branch,Pirates of the Caribbean: At World's End
105,Angus Barnett,Pirates of the Caribbean: At World's End
106,Giles New,Pirates of the Caribbean: At World's End
107,Reggie Lee,Pirates of the Caribbean: At World's End
108,Dominic Scott Kay,Pirates of the Caribbean: At World's End
109,Takayo Fischer,Pirates of the Caribbean: At World's End
110,David Meunier,Pirates of the Caribbean: At World's End
111,Ho-Kwan Tse,Pirates of the Caribbean: At World's End
112,Andy Beckwith,Pirates of the Caribbean: At World's End
113,Peter Donald Badalamenti II,Pirates of the Caribbean: At World's End
114,Christopher S. Capp,Pirates of the Caribbean: At World's End
115,Keith Richards,Pirates of the Caribbean: At World's End
116,Hakeem Kae-Kazim,Pirates of the Caribbean: At World's End
117,Ghassan Massoud,Pirates of the Caribbean: At World's End
118,Daniel Craig,Spectre
119,Christoph Waltz,Spectre
120,Léa Seydoux,Spectre
121,Ralph Fiennes,Spectre
122,Monica Bellucci,Spectre
123,Ben Whishaw,Spectre
124,Naomie Harris,Spectre
125,Dave Bautista,Spectre
126,Andrew Scott,Spectre
127,Rory Kinnear,Spectre
128,Jesper Christensen,Spectre
129,Alessandro Cremona,Spectre
130,Stephanie Sigman,Spectre
131,Tenoch Huerta,Spectre
132,Adriana Paz,Spectre
133,Domenico Fortunato,Spectre
134,Marco Zingaro,Spectre
135,Stefano Elfi DiClaudia,Spectre
136,Ian Bonar,Spectre
137,Tam Williams,Spectre
138,Richard Banham,Spectre
139,Pip Carter,Spectre
140,Simon Lenagan,Spectre
141,Alessandro Bressanello,Spectre
142,Marc Zinga,Spectre
143,Brigitte Millar,Spectre
144,Adel Bencherif,Spectre
145,Gediminas Adomaitis,Spectre
146,Peppe Lanzetta,Spectre
147,Francesco Arca,Spectre
148,Matteo Taranto,Spectre
149,Emilio Aniba,Spectre
150,Benito Sagredo,Spectre
151,Dai Tabuchi,Spectre
152,George Lasha,Spectre
153,Sargon Yelda,Spectre
154,Andy Cheung,Spectre
155,Erick Hayden,Spectre
156,Oleg Mirochnikov,Spectre
157,Antonio Salines,Spectre
158,Miloud Mourad Benamara,Spectre
159,Gido Schimanski,Spectre
160,Nigel Barber,Spectre
161,Patrice Naiambana,Spectre
162,Stephane Cornicard,Spectre
163,Gary Fannin,Spectre
164,Sadao Ueda,Spectre
165,Phillip Law,Spectre
166,Wai Wong,Spectre
167,Joseph Balderrama,Spectre
168,Eiji Mihara,Spectre
169,Junichi Kajioka,Spectre
170,Victor Schefé,Spectre
